20240118	12:44:02 	80532374-2bb0-42a4-a863-c900b139edfd	POST 	 undefined  	 /employees?name=Alexis&age=25&city=Vila%20Nova%20de%20Gaia&isStudent=true  
20240118	12:44:27 	db9df31a-5e64-429c-a7b8-554ab4a7d3d6	PUT 	 undefined  	 /employees?name=Alexis&age=25&city=Vila%20Nova%20de%20Gaia&isStudent=true  
20240118	12:44:56 	639946c5-854e-41fd-8419-164035ad1b4e	DELETE 	 undefined  	 /employees?name=Alexis&age=25&city=Vila%20Nova%20de%20Gaia&isStudent=true  
20240118	12:45:19 	728348c2-23f3-4196-a1e2-7d2dc137661c	PUT 	 undefined  	 /employees?name=Alexis&age=25&city=Vila%20Nova%20de%20Gaia&isStudent=true  
20240118	12:46:23 	6fdda447-e001-491d-860f-584f1c962e26	PUT 	 undefined  	 /employees?name=Alexis&age=25&city=Vila%20Nova%20de%20Gaia&isStudent=true  
20240118	12:46:39 	d284dd71-8970-411f-b27f-16f280cb4db7	PUT 	 undefined  	 /employees?name=Alexis&age=25&city=Vila%20Nova%20de%20Gaia&isStudent=true  
20240118	12:46:51 	910c5f50-9ed3-428d-8ac3-9041d9505aad	PUT 	 undefined  	 /employees  
20240118	12:48:07 	3d318fdb-1e2f-4d8d-be00-8eeb90d0dd01	PUT 	 undefined  	 /employees  
20240118	12:48:30 	91503270-f06d-4e65-8e27-b326c2182531	PUT 	 undefined  	 /employees  
20240118	12:48:44 	bf0f5227-0c02-4c2b-83be-db74dbe0f99a	PUT 	 undefined  	 /employees  
20240118	12:49:37 	e6240d7b-543a-46e6-b43e-802370a73962	PUT 	 undefined  	 /employees  
20240118	12:50:13 	a10a05bc-c4a0-4447-969e-fc54cf262da6	DELETE 	 undefined  	 /employees?name=Alexis&age=25&city=Vila%20Nova%20de%20Gaia&isStudent=true  
20240118	12:50:27 	16d82a8e-db5c-49d1-b0cd-503bdabef92d	DELETE 	 undefined  	 /employees  
20240118	12:50:41 	772785e0-464f-4abe-9429-e100aeeb1a12	DELETE 	 undefined  	 /employees  
20240124	19:00:56 	be02ec82-b14c-478c-bb53-8a7485b39681	POST 	 undefined  	 /register?username&password  
